text,vtlabel
I did my part! #ElectionDay #HillaryClinton #History #suckitTrump @HillaryClinton  @sallykohn #MadamePOTUS… https://t.co/S0i6LdNeAu,-1
@LindaSuhler @CtBrokerRoks @realDonaldTrump https://t.co/cVG5fM3KYI,1
@LochTheScot @realDonaldTrump VOTE FOR THOSE WHO CAN'T THE UNBORN,1
@realDonaldTrump @PattonDivision ME in MICHIGAN 70% MORE!!!!!!,1
@realDonaldTrump Mr. Trump can you speak to how fast we can turn around Obama care.  My deductible went up from $5K to $12K.,1
"@Trumptbird @Redeemed1952 @realDonaldTrump God Bless you Mr. Howard prayers are with you, u have bless our country with your vote for Trump",1
#MARA MAKE AMERICA RED AGAIN!!!  @realDonaldTrump LET'S GO TRUMP!!!  WEST COAST!!!,1
CATHOLICS- I am not a priest so I can say it!  Vote life and religious freedom. #VoteTrumpPence16 @SpartyGirl2005 @realDonaldTrump,1
HAS HILLARY CONCEDED YET? @realDonaldTrump @KellyannePolls https://t.co/R7qNDSNB9X,1
He just calmly went back to the stage!!  Your crazy if you are not voting for this guy that would take a bullet for… https://t.co/BSArzGY3lM,1
I AM SO HAPPY AND PROUD OF THE REPUBLICAN PARTY AND PRESIDENT ELECT TRUMP @REALDONALDTRUMP https://t.co/FbIhc8wUxT,1
"LIVE AND WORK IN THE DETROIT AREA SEE THIS EVERY DAY.  Started with Jimmy Carter, Bill Clinton and people want anot… https://t.co/TmLajx5RPA",1
RT @aduanebrown: Everyday I'm honored to know that @realDonaldTrump is fighting for Americans like me. He puts his life on the line because…,1
RT @amrightnow: The Real Trump Will Build The Strongest Military In The World https://t.co/j58e8aacrE @realDonaldTrump @DanScavino https://…,1
"RT @annieone3: @newtgingrich @amperg33 You know the system, Newt.  It's rotten.  We are going to change it with @realDonaldTrump.",1
"RT @bocavista2016: Who was the real winner of last nights election?

America

She NEEDED a victory

And @realDonaldTrump gave it to her
htt…",1
RT @DanScavino: .@SpeakerRyan from his office balcony - shows President-elect @realDonaldTrump where he will be sworn in. https://t.co/C2K2…,1
"RT @DanScavino: ""Anyone who thinks my story is anywhere near over is sadly mistaken."" @realDonaldTrump https://t.co/4G52bKksyT",1
"RT @DanScavino: The MOVEMENT in Eau Claire, Wisconsin tonight. Another massive @realDonaldTrump rally with the #TrumpTrain🚂💨🇺🇸🇺🇸🇺🇸… ",1
"RT @DiamondandSilk: .@realDonaldTrump is Americans only Choice.  Blacks, whites, Hispanics, Asian, Latinos  Vote, Vote, Vote. ......Vot… ",1
"RT @DiamondandSilk: Looks like @realDonaldTrump had more people at his Rally than Jay Z &amp; Beyonce.   According to this Picture, this is… ",1
"RT @DonaldJTrumpJr: #Repost @realdonaldtrump
・・・
Today we express our deepest gratitude to all those who have served… https://t.co/4OVq3RC7…",1
RT @DonaldJTrumpJr: Great event in #Arizona w Utah Senator Orrin Hatch. Thanks to all the amazing @realDonaldTrump supporters there!!! http…,1
RT @Dylanesque2604: @davisindy @kiuwalsh @HillaryClinton @JulesSiscoe https://t.co/wrsYpGeojf,1
RT @FarizzleBizzle: #MAGA https://t.co/aH7XXA7DVn,1
RT @FLlovesTrump79: @AmericanVoterUS @realDonaldTrump Lady Liberty just another beautiful Trump supporter 🇺🇸 #WomenforTrump,1
RT @FoxNews: .@realDonaldTrump: We're going to rebuild our depleted military. https://t.co/H61nBi1OfZ,1
RT @GenFlynn: I too believe we need big change! @realDonaldTrump @mike_pence @FieldofFight @DanScavino @JaredWyand @Cernovich…,1
"RT @GigiTracyXO: Thank you, FBI Director Comey for waking up more Americans‼️
We are voting for @realDonaldTrump Trump‼️ https://t.co/WVZgW…",1
RT @GoDonaldTrump: @FoxNews @realDonaldTrump @HillaryClinton https://t.co/l3nPGzjWM5,1
"RT @JesseJaymz: @JaredWyand @MajorCBS @realDonaldTrump Yeah, the place was jumping! #motorcity for #trump 🇺🇸 https://t.co/PtQzNick4H",1
RT @KristinnFR: @realDonaldTrump supporters demonstrate in front of media pen after Tampa FL rally @gatewaypundit https://t.co/N0hpI79dDy,1
"RT @LaraLeaTrump: Proud to cast my vote for a man who has changed the game &amp; stands for &amp; w the people of #America, @realDonaldTrump… ",1
RT @LochTheScot: VOTE @realDonaldTrump https://t.co/SCCxKhtXy1,1
"RT @LouDobbs: He Has the Temperament of a Great Leader, a Great President: Vote for Trump! #MAGA #TrumpPence16 #TrumpTrain #Dobbs https://t…",1
RT @mdtnvolfan: @RSBNetwork @Adam_Taxin Nothing like watching a @realDonaldTrump rally in HD while eating supper. Thanks Right Side! https:…,1
RT @MichelleKOrts10: and we @DrDaveOrts shall continue to agree w you Peter In Jesus Holy Name Amen https://t.co/37NCZ9E9zO,1
"RT @Mike_Beacham: Never Say #NeverTrump: 
GOP Support For Donald Is Strong And Growing 
@realDonaldTrump 
@mike_pence 
#MAGA 
#tcot 
https:…",1
RT @mike_pence: Thank you Miami! A @realDonaldTrump administration will be on the side of freedom &amp; a better life in this hemispher…,1
"RT @netanyahu: President-elect Trump, my friend: Congratulations on being elected President of the United States of America.… ",1
"RT @NewWorldNewAge: Working hard to get @realDonaldTrump elected, this is for America 🇺🇸@DanScavino @RSBNetwork https://t.co/EazfqUySHo",1
"RT @pearlecent163: @realDonaldTrump will unite People as Americans, bring jobs, raise up our Poor, Pride &amp; opportunities go up, Americ… ",1
"RT @RealDJTrumpTeam: THE SILENT MAJORITY! MOVEMENT!
@JTSantucci - @realDonaldTrump walking the line of people! #AmericaFirst @EricTrump htt…",1
RT @ReRe_76804: @realDonaldTrump ..We will never be stopped! #TrumpReno,1
RT @RockytopUSA16: @realDonaldTrump has worked his butt off for this poll. Just hope it holds. #MAGA  GO TRUMP!!!🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸…,1
"RT @RSBNetwork: Watch #TrumpTowerLive now @GenFlynn is currently our guest. Watch on @realDonaldTrump Facebook or our YouTube ! 

https://t…",1
RT @Scimitar_98: God is giving us ONE MORE CHANCE! THE WORLD AND OUR FOUNDING FATHERS WATCHING WHAT WE DO HERE.... https://t.co/8O0FeUJ5Tb,1
"RT @ScottPresler: If you follow these rules on Election Day, @realDonaldTrump will win.

Share this thread. 

#SaturdayMorning… ",1
RT @ShogunINTL: THAT'S  FOR SURE!!! HE'S  MY HERO!!!!!  https://t.co/QonAW4Rs3f,1
RT @SpartyGirl2005: Hey @realDonaldTrump this princess is picking you for President! #MAGA #TrumpPence16 #TrumpTrain @DonaldJTrumpJr…,1
"RT @spritewdimps: @realDonaldTrump @DonaldJTrumpJr . Thank you for coming to Farmington, NM. 100% behind you https://t.co/7Q4KQuwobS",1
"RT @StacyBrewer18: Wow, check this out! #SocialistDem4Trump ⤵. God, I love this election (except for the #SpiritCooking part). https://t.co…",1
"RT @TeamTrump: 160,000 people who want to #MAGA are streaming @realDonaldTrump in Michigan RIGHT NOW. It's a MOVEMENT! https://t.co/38XA0bR…",1
RT @TEJANOS4TRUMP: we need you Michigan...vote @realDonaldTrump https://t.co/Q0pvDKdkpp,1
RT @tfgnews: VOTE— NO MATTER WHAT! Cast your @realDonaldTrump vote 2 MAKE A STATEMENT—that we're infuriated with political elite…,1
"RT @theglobaluniter: .@KellyannePolls 

#Fedupvoters all over this country feel .@realDonaldTrump is our only #hope to finally put… ",1
RT @thinkdontfollow: @Trumptbird @gdg2024 @realDonaldTrump God bless you. Prayers headed your way.,1
RT @TilleyRicky: One of the coolest things I've ever saw #trump #donaldtrump2016 #donaldtrump #presidentelect @DonaldJTrumpJr…,1
RT @TimeforTruth16: Go Kim! https://t.co/dfA9miSHaN,1
"RT @TrumpD2016: ""@DanScavino: .@realDonaldTrump with supporter &amp; friend @ESPNDrLou in Tampa, Florida. #MakeAmericaGreatAgain https://t.co/5…",1
"RT @TrumpIsTheBoss3: Prayers for Trump, Pence, and their families. Trump is fearless. A natural born leader! https://t.co/aApLur1kaW",1
"RT @TrumpNation22: @CNN just announced after all votes counted, President @realDonaldTrump will win the popular vote 😂😂😂

VP-elect mike pen…",1
"RT @VickyBrush: Just think, if @realDonaldTrump wins tonite, children will have an EXTREMELY PROMISING FUTURE! If you haven't voted… ",1
"RT @VickyBrush: Poll numbers are coming in and @realDonaldTrump is KILLING IT so far in New Hampshire, Kentucky, Indiana!!! OMG, SO WONDERF…",1
"RT @VoteTrumpPics: ""We’re going to rebuild our military and take care of our GREAT GREAT GREAT Veterans."" - @realDonaldTrump… ",1
RT @W7VOA: #Florida where 95% of the vote is in @realDonaldTrump remains ahead with 29 electoral votes at stake. #ElectionNight https://t.c…,1
"RT @WayneDupreeShow: America needs @realDonaldTrump!! 

@DanScavino @KellyannePolls @TeamTrump @seanhannity @madisongesiotto… ",1
THAT IS SOOO COOL THANKS FOR SHARING! https://t.co/hcLw0s1jvh,1
THE CLINTON FOUNDATION @realDonaldTrump https://t.co/40zYUzMNFu,1
Trumpergizer Bunny - NOW HE IS ON HIS WAY TO COLORADO!!! @realDonaldTrump @JudgeJeanine @rudygiulianiGOP https://t.co/8Bap30uFQe,1
VERY TRUE!!! https://t.co/TNBKEWID8Y,1
WHAT A BADA$$ THAT IS WHO I WANT TO HAVE RUNNING MY COUNTRY! @realDonaldTrump #VoteTrump https://t.co/qOmqGOLV59,1
Wonderful speech by Mike @mike_pence and @realDonaldTrump !!!  VOTE TRUMP Get out and VOTE https://t.co/uQyTTaaQh1,1
"YOU ALL HAVE MY SUPPORT, PRAYERS, AND YOUR DAD HAS MY VOTE!!  @realDonaldTrump @EricTrump #VoteTrump… https://t.co/BqJIph7N5p",1
@Firemdc780 @FoxNews @HillaryClinton Embarrassed for the country and I hope the country is smart enough to vote TRUMP!!!,1
@realDonaldTrump They even lie about that.  I am from MICHIGAN and my Deductible went from $5K to $12K,1
DEAR AMERICA PEOPLE IF YOU CAN'T SEE THAT COMEY WAS BOUGHT BY THE SWAMP.. TRUST ME HE WAS.  #VoteTrump @realDonaldTrump,1
"I just cast my vote for Donald J. Trump @realDonaldTrump I want Religious Freedom, Save Life and Drain the Swam.  GOD BLESS YOU MR. TRUMP!",1
"RT @atlaswon: It's not a ROCK CONCERT!

It's a #Trump rally while .@HillaryClinton sleeps off another booze filled night.… ",1
RT @BiteMeYes: @realDonaldTrump is The 45th President Of The United States!  Deal with it Obama &amp; Killary https://t.co/PTaiu4FBIF,1
"RT @Carolde: Dear @HillaryClinton 
It's all fun N games playing Musical Chairs till the music stops and Uhave no chair #Trump… ",1
"RT @CCCINNC: @KGforTrump @realDonaldTrump 
This is the letter his mother wrote to Trump &amp; Trump Responded.
https://t.co/rmCt9rdgR4",1
"RT @DanScavino: Crooked needs Beyoncé &amp; Jay Z to fill an arena. Like last night, @realDonaldTrump needs an arena, American flags an… ",1
RT @Darren32895836: Donald Trump Statement on his allegedly attempted Assassination in #Reno #Nevada ........ #DrainTheSwamp #LockHerUp…,1
"RT @DiamondandSilk: The Liberals tried to bury @realDonaldTrump Supporters, they didn't realize his supporters were the seeds that kept… ",1
"RT @DiamondandSilk: Words cannot Express our Gratitude. To all of our Adorable Fans...We love Y'all! #WeMadeHistory The 45th President,… ",1
RT @Firemdc780: Damn! This is embarrassing for Comey.  #PodestaEmails32 #MAGA3X #DrainTheSwamp  https://t.co/IWsoMKKkL1,1
RT @FL4TRUMPDOTCOM: She's trying to act like she doesn't know HUMA... but we know better. #Draintheswamp #FL4🇺🇸 @realDonaldTrump https://t.…,1
"RT @GenFlynn: For the future of our children and grandchildren, join me in asking HRC to step down @realDonaldTrump  @EricTrump… ",1
RT @IngrahamAngle: Don't Count #Connecticut out. Signs all over the state for @realDonaldTrump! Very little for Hillary. https://t.co/rAFw2…,1
RT @KevlarDj: @ImWithYou010 @iAmFreedomMan @HumaAbedin #TRUMPTOON @realDonaldTrump @seanhannity @DonaldJTrumpJr https://t.co/gpeCW31AGA,1
RT @LollieCouture: #GodBless #America #MAGA REAL CHANGE #TrumpPence16 #Trump2016 #VOTE #TRUMP TERMINATE OBUMMER CARE #STOP GLOBALIST…,1
"RT @myGianLuca: RT
@HillaryClinton &amp; #MSM Want
  AMERICA on Her KNEES!!

We're Standing UP with TRUMP!!
            -&gt; Nov 8th
  We… ",1
RT @RockingTrump: #RememberWhenTrump said he was sorry for words spoken 11 years ago and @HillaryClinton couldn't apologize to the rape vic…,1
RT @sales_um: Paul Ryan says he's voted for Trump https://t.co/tcFijuoJFo 1 of @HillaryClinton harden supporters jumps the sinking ship. @r…,1
RT @TeamTrumpAZ: #HillaryIndicment #GOP #PresidentTrump #safevote #FridayFeeling #ImpeachmentRunsInTheFamily #womenhatehillary https://t.co…,1
RT @TinaCatalone: 😂LMFAO @HillaryClinton couldn't even fill a free #JayZ concert They walked out by doz😂 #VoteTrump @JtMobleyFla…,1
THIS IS WHAT I AM PRAYING FOR ON NOVEMBER 8TH - HER CRYING OVER A LOSS AND AN INDITEMENT .  @realDonaldTrump… https://t.co/xXwoWBFAoO,1
YAY!!!  LETS MAKE IT A LANDSLIDE!!! VOTE TRUMP https://t.co/JUDjSlD2FX,1
"Report: Malaysia, Asian currencies at risk if @realDonaldTrump wins US presidency https://t.co/FLLQX2vjZ0 https://t.co/O1b7XKdBku",-1
Shock and angst in Asia as @realDonaldTrump rises https://t.co/sQaNCtiJlV #ElectionNight https://t.co/IKKAcyXdJT,-1
If @realDonaldTrump is elected https://t.co/udnDMFERFZ,-1
"RT @JackieFromSpace: Dear @realDonaldTrump, please give a statement regarding all the violence your presidency has sparked across nation ov…",-1
.@aasif @HillaryClinton just dropped.my ballot at West Palm SOE office; Trump goons taking up all the parking,-1
.@HillaryClinton What is up with @realDonaldTrump 's hat being pulled down over his eyes? What a douche canoe #imwithher #makingherstory,-1
"Band is finally endorsing @realDonaldTrump to play their song. Green Day dedicating ""American Idiot"" to Trump. #2016election #ImWitHer",-1
.@Alyssa_Milano @realDonaldTrump @CNNPolitics he won't; like a deer in headlights; prolly had his Twitter taken away again. He is a #loser,-1
@realDonaldTrump then fix it and make it stop you coward,-1
#TrumpCantRead  @realDonaldTrump LOL!! So much evidence @iamsambee https://t.co/SloHV9Vm96,-1
"After antics by Giuliani/FBI, I call staged...trying to get a sympathy vote &amp; a chance to wrongly attack again! Shameful  @realDonaldTrump",-1
Do not let anyone impede on your right to vote #pollwatcher #2016election @realDonaldTrump has misdirected his supp… https://t.co/1M5VHuBA4p,-1
It's becoming apparent that @realDonaldTrump has no one outside his small circle of trust; this is an implosion. @ananavarro @jaketapper,-1
@pastormarkburns @realDonaldTrump @HilIaryClimton false!!!!! Who the hell do you think you are? That's not how it works twat!!,1
RT @JuddLegum: 1. Important: Trump said he would avoid conflict between his business and gov't by turning his businesses over to h…,1
guys this is real life. they relying on fortune cookies rn. https://t.co/D4hAezMgXv,-1
@PaulineHansonOz @realDonaldTrump He doesn't even know who the fuck you are Pauline. He also doesn't control his own twitter....,-1
RT @alaskantexanQCT: I need more vans! People in Philly are too #WOKE! Yo @realDonaldTrump we are getting it done fam! #ElectionDay #BLACKS…,1
RT @GenFlynn: I too believe we need big change! @realDonaldTrump @mike_pence @FieldofFight @DanScavino @JaredWyand @Cernovich…,1
RT @GopAaron: New Hampshire could be the state that puts @realDonaldTrump over 270! We're in the Big League now! #BigLeague…,1
RT @GopAaron: Under a @realDonaldTrump administration our veterans will come first! #VetsBeforeIllegals #VetsBeforeRefugees…,1
RT @hrtablaze: Momentum is fleeting ! Stay focused Trump Nation ! Tweet like crazy and keep pushing forward till we MAGA ! https://t.co/WGX…,1
RT @trumpemall: @alaskantexanQCT @Darren32895836 @realDonaldTrump God bless you!,1
RT @Darren32895836: DJT UP BY 2.5% IN FLORIDA WITH 55% IN!!  #DrainTheSwamp #ElectionNight  #MyVote2016      #ElectionDay  #Voted2016 @Hill…,1
RT @FoxNews: Fox News projects @realDonaldTrump wins Arkansas. #ElectionNight #FoxNews2016 https://t.co/sOnBWKTpnJ,1
@FrankLuntz @peterjukes lying to the (hopefully bitter) end @realDonaldTrump #liar #scum,-1
RT @SophiaHelwani: @realDonaldTrump Ted Nugent rocks the house in Michigan https://t.co/XqE62dzXYw,1
"Ladies &amp; Grntd meet ""Okie"" &amp; ""Doke"" 🐭 https://t.co/LTvV7wh2sX",1
"RT @AgnesClaire: I'll be pulling the lever for @realDonaldTrump, thinking about you and #CrookedHillary going to jail. It ain't over… ",1
"RT @robtned: One of @realDonaldTrump 's volunteer ""observers"" outside a Columbus polling place this morning https://t.co/kqL9m0nNsJ",-1
"You're disgusting, a deliberate liar and soon will be irrelevant. @elizabethforma @realDonaldTrump",-1
"RT @Jalepeno84: Yes, this is how I want @realDonaldTrump to run the country👇🏻 #MAGA #PresidentTrump https://t.co/2ANtf4lMb7",1
RT @sme4201968: 😂😂😂 https://t.co/1bqJaHpHTn,1
Humanity strikes back at @realDonaldTrump. Join the #WorldToTrump open letter that’s sweeping the planet! #Trump https://t.co/4OLJOac0Gt,-1
RT @SteveDeaceShow: The full clip of my appearance on PBS tonight discussing media bias and @realDonaldTrump https://t.co/QsaOCx93mS,1
"RT @JesseFFerguson: Sunday Preview

@HillaryClinton is with Khizr Khan

@realDonaldTrump is with Ted Nugent

Kinda summarizes the whole cam…",-1
"RT @NCBlake: REMINDER: @realDonaldTrump publicly shamed a teenage pageant winner, whom he called ""Ms Piggy,"" for gaining a small… ",-1
"RT @pattonoswalt: No way does she grow up in your slo-mo temper tantrum version of America, @realDonaldTrump. #electionday https://t.co/oPZ…",-1
RT @DanielleRose84: Ya know what I really wanna see right now? @realDonaldTrump's TAX RETURNS,-1
"@katzish @katekilla @realDonaldTrump If you are gonna be prez, might want to read that thing called a constitution and bill of rights.",-1
"RT @Fahrenthold: FINAL UPDATE: I spent 6 months looking for proof that @realDonaldTrump gives ""tens of millions"" to charity, as he c… ",-1
"@DavidCornDC @GammaRae206 @realDonaldTrump a badge of honor, David. Also. Count yourself lucky.",1
Not the brightest clan https://t.co/Dr8uR7Erdi,-1
"@realDonaldTrump get used to it KKK-backed President. Look over your shoulder, that's the Constitution. It is a tyrant preventer.",-1
"RT @Randazzoj: ""A sexual predator who lost the popular vote."" Harry Reid's statement is how we should always refer to @realDonaldTrump",-1
RT @FoxNews: Fox News projects @realDonaldTrump wins Arkansas. #ElectionNight #FoxNews2016 https://t.co/sOnBWKTpnJ,1
"@realDonaldTrump Yes, we make America great again BY @HillaryClinton WINNING THIS ELECTION AND BECOMING OUR PRESIDENT! 👍🏻 #ImWithHer",-1
@realDonaldTrump @mike_pence Your entire crowd watching the election is literally 50 Shades Of White. Can't wait for your impeachment!👍🏻🖕🏻,-1
"@realDonaldTrump funny, last time you talked to a Veteran you told him he was weak &amp; poor because he had a mental break down. #NeverTrump",-1
@TeamTrump @mike_pence @realDonaldTrump Electing Donald Trump means going back to abusive laws written by irrelevant white men,-1
"When Spongebob predicts the future of @realDonaldTrump's ""presidency"" #HesNotMyPresident https://t.co/qkJKdkSoWQ",-1
@AlGiordano 17 for @HillaryClinton 14 for @realDonaldTrump,-1
"@AlGiordano Kid did a survey in her school in that heavy-repub town. Of 100 students, 60 would vote @HillaryClinton; of 20 teachers, 12 Dems",-1
"@MotherJones Not me. If it goes as expected + @HillaryClinton wins, I'll be alert enough to enjoy it. If it goes badly, I'm up for a fight.",-1
@realDonaldTrump+ @HillaryClinton have spent their lives with the poor. He did it on their backs; she by their sides https://t.co/teVKWE7MOz,-1
99 yr old Indian m-in-law on US election: @HillaryClinton should win. @realDonaldTrump is an empty-headed fool.,-1
"Press censorship of #India's #NDTV, arrest of Turkish opposition members: #DonaldTrump must approve! #GOTVforHRC #NeverTrump @HillaryClinton",-1
Superb plug for @HillaryClinton by former NATO ambassador @RNicholasBurns on @BBCWorld. #Trump wouldn't even understand half of what he said,-1
@DonaldJTrumpJr @realDonaldTrump Living in la-la land.,-1
@realDonaldTrump And still have time to grab some p...y,-1
@realDonaldTrump I can't believe how much Fred is rolling over in his grave. You truly have embarrassed him. You failed him big time.,-1
@realDonaldTrump This is the way it's going to be for the next 4 years.,-1
Hey! https://t.co/GEA7H8zQWA,1
RT @CookPassTim: @realDonaldTrump https://t.co/Qr2kpFRZDn,-1
RT @joea_va: You did this @realDonaldTrump. https://t.co/8qd3cYtAmS,-1
"@ChelsIsRight @jonkarl @realDonaldTrump wonder if he's gonna grab himself, cuz he looks like a giant pussy (pardon my French)",-1
DON'T FORGET TO GRAB 'EM BY THE PUSSY FIRST. @realDonaldTrump,-1
